"Order ID","Ship Mode",delivery_days,z_score
US-2017-153255,"Second Class",4,0.64
CA-2015-134992,"Second Class",4,0.64
CA-2015-134992,"Second Class",4,0.64
CA-2017-161067,"Second Class",3,-0.2
CA-2017-161067,"Second Class",3,-0.2
CA-2017-161067,"Second Class",3,-0.2
CA-2017-161067,"Second Class",3,-0.2
CA-2016-149783,"Second Class",3,-0.2
CA-2016-149783,"Second Class",3,-0.2
CA-2014-166716,"Second Class",5,1.48
CA-2014-124856,"Second Class",4,0.64
CA-2014-124856,"Second Class",4,0.64
CA-2014-124856,"Second Class",4,0.64
CA-2014-124856,"Second Class",4,0.64
CA-2017-115070,"Second Class",4,0.64
CA-2015-155586,"Second Class",4,0.64
CA-2015-155586,"Second Class",4,0.64
CA-2015-155586,"Second Class",4,0.64
CA-2017-126396,"Second Class",4,0.64
CA-2015-150749,"Second Class",5,1.48
CA-2017-126550,"Second Class",4,0.64
CA-2015-124107,"Second Class",3,-0.2
CA-2015-124107,"Second Class",3,-0.2
CA-2015-124107,"Second Class",3,-0.2
CA-2015-124107,"Second Class",3,-0.2
CA-2017-136000,"Second Class",3,-0.2
CA-2016-126165,"Second Class",2,-1.04
CA-2015-141012,"Second Class",2,-1.04
CA-2015-141012,"Second Class",2,-1.04
CA-2017-142342,"Second Class",2,-1.04
CA-2017-142342,"Second Class",2,-1.04
CA-2017-142342,"Second Class",2,-1.04
CA-2017-142342,"Second Class",2,-1.04
CA-2015-166604,"Second Class",5,1.48
CA-2016-127985,"Second Class",4,0.64
CA-2016-101742,"Second Class",5,1.48
US-2016-146066,"Second Class",2,-1.04
CA-2014-126683,"Second Class",2,-1.04
CA-2014-126683,"Second Class",2,-1.04
CA-2016-121748,"Second Class",4,0.64
CA-2016-121748,"Second Class",4,0.64
CA-2016-117919,"Second Class",2,-1.04
CA-2016-117919,"Second Class",2,-1.04
CA-2014-164742,"Second Class",5,1.48
CA-2014-164742,"Second Class",5,1.48
CA-2016-115224,"Second Class",3,-0.2
CA-2016-115224,"Second Class",3,-0.2
CA-2014-116673,"Second Class",4,0.64
CA-2017-137498,"Second Class",5,1.48
CA-2017-137498,"Second Class",5,1.48
CA-2017-137498,"Second Class",5,1.48
CA-2017-133263,"Second Class",2,-1.04
CA-2017-133263,"Second Class",2,-1.04
CA-2017-133263,"Second Class",2,-1.04
CA-2017-116113,"Second Class",4,0.64
US-2016-138408,"Second Class",3,-0.2
CA-2017-164378,"Second Class",3,-0.2
CA-2017-164378,"Second Class",3,-0.2
CA-2017-164378,"Second Class",3,-0.2
CA-2017-164378,"Second Class",3,-0.2
CA-2017-164378,"Second Class",3,-0.2
CA-2017-134495,"Second Class",3,-0.2
CA-2017-134495,"Second Class",3,-0.2
CA-2017-134495,"Second Class",3,-0.2
CA-2017-134495,"Second Class",3,-0.2
CA-2014-107706,"Second Class",5,1.48
CA-2017-116680,"Second Class",2,-1.04
CA-2017-116680,"Second Class",2,-1.04
US-2017-153633,"Second Class",5,1.48
CA-2017-103009,"Second Class",2,-1.04
US-2016-151827,"Second Class",2,-1.04
US-2016-151827,"Second Class",2,-1.04
CA-2014-132542,"Second Class",2,-1.04
CA-2014-104829,"Second Class",3,-0.2
CA-2017-163874,"Second Class",2,-1.04
CA-2017-164707,"Second Class",3,-0.2
CA-2017-164707,"Second Class",3,-0.2
CA-2017-164707,"Second Class",3,-0.2
CA-2016-149195,"Second Class",2,-1.04
CA-2016-149195,"Second Class",2,-1.04
CA-2016-149195,"Second Class",2,-1.04
CA-2014-123477,"Second Class",3,-0.2
CA-2017-108539,"Second Class",2,-1.04
CA-2017-108539,"Second Class",2,-1.04
CA-2017-108539,"Second Class",2,-1.04
CA-2015-112053,"Second Class",2,-1.04
CA-2015-146486,"Second Class",5,1.48
CA-2015-146486,"Second Class",5,1.48
CA-2015-146486,"Second Class",5,1.48
CA-2015-146486,"Second Class",5,1.48
CA-2016-111941,"Second Class",3,-0.2
CA-2014-130813,"Second Class",2,-1.04
CA-2017-134439,"Second Class",5,1.48
CA-2015-162887,"Second Class",2,-1.04
CA-2015-125185,"Second Class",2,-1.04
CA-2015-125185,"Second Class",2,-1.04
US-2014-131982,"Second Class",4,0.64
US-2017-110989,"Second Class",2,-1.04
CA-2016-156265,"Second Class",2,-1.04
CA-2016-156265,"Second Class",2,-1.04
CA-2016-156265,"Second Class",2,-1.04
CA-2016-110730,"Second Class",3,-0.2
CA-2017-124436,"Second Class",3,-0.2
CA-2017-124436,"Second Class",3,-0.2
CA-2017-124436,"Second Class",3,-0.2
US-2017-109582,"Second Class",5,1.48
CA-2017-117401,"Second Class",4,0.64
CA-2017-117401,"Second Class",4,0.64
CA-2017-117401,"Second Class",4,0.64
CA-2017-134635,"Second Class",2,-1.04
CA-2015-130876,"Second Class",4,0.64
CA-2014-101560,"Second Class",3,-0.2
CA-2014-101560,"Second Class",3,-0.2
CA-2014-101560,"Second Class",3,-0.2
CA-2016-122903,"Second Class",2,-1.04
CA-2016-122903,"Second Class",2,-1.04
CA-2016-122903,"Second Class",2,-1.04
CA-2016-115378,"Second Class",5,1.48
CA-2015-156146,"Second Class",4,0.64
CA-2015-156146,"Second Class",4,0.64
CA-2017-163006,"Second Class",4,0.64
CA-2017-163006,"Second Class",4,0.64
CA-2017-163006,"Second Class",4,0.64
CA-2017-125101,"Second Class",4,0.64
CA-2016-147970,"Second Class",2,-1.04
CA-2015-167374,"Second Class",4,0.64
CA-2015-167374,"Second Class",4,0.64
CA-2016-108350,"Second Class",3,-0.2
CA-2014-134572,"Second Class",2,-1.04
CA-2014-134572,"Second Class",2,-1.04
CA-2014-134572,"Second Class",2,-1.04
CA-2017-151071,"Second Class",4,0.64
CA-2016-109722,"Second Class",2,-1.04
CA-2016-109722,"Second Class",2,-1.04
CA-2015-141243,"Second Class",5,1.48
CA-2015-141243,"Second Class",5,1.48
CA-2015-141243,"Second Class",5,1.48
CA-2016-158694,"Second Class",3,-0.2
CA-2016-158694,"Second Class",3,-0.2
CA-2016-158694,"Second Class",3,-0.2
CA-2016-158694,"Second Class",3,-0.2
CA-2016-158694,"Second Class",3,-0.2
CA-2016-158694,"Second Class",3,-0.2
CA-2016-158694,"Second Class",3,-0.2
CA-2017-141719,"Second Class",4,0.64
CA-2015-103954,"Second Class",4,0.64
CA-2014-151792,"Second Class",5,1.48
CA-2017-136511,"Second Class",2,-1.04
CA-2015-158659,"Second Class",4,0.64
CA-2014-156006,"Second Class",2,-1.04
CA-2016-109925,"Second Class",4,0.64
US-2016-131114,"Second Class",4,0.64
US-2016-131114,"Second Class",4,0.64
US-2016-131114,"Second Class",4,0.64
CA-2015-142202,"Second Class",5,1.48
CA-2015-122406,"Second Class",3,-0.2
CA-2015-122406,"Second Class",3,-0.2
CA-2015-122406,"Second Class",3,-0.2
CA-2015-122406,"Second Class",3,-0.2
CA-2015-109708,"Second Class",3,-0.2
CA-2016-141180,"Second Class",4,0.64
CA-2014-160262,"Second Class",4,0.64
CA-2014-160262,"Second Class",4,0.64
CA-2014-160262,"Second Class",4,0.64
CA-2017-117926,"Second Class",4,0.64
CA-2016-125815,"Second Class",4,0.64
CA-2017-114055,"Second Class",4,0.64
CA-2017-114055,"Second Class",4,0.64
CA-2017-114055,"Second Class",4,0.64
CA-2017-114055,"Second Class",4,0.64
CA-2017-163125,"Second Class",2,-1.04
CA-2017-163125,"Second Class",2,-1.04
CA-2015-161830,"Second Class",2,-1.04
CA-2015-161830,"Second Class",2,-1.04
CA-2014-133809,"Second Class",5,1.48
CA-2014-133809,"Second Class",5,1.48
US-2014-146353,"Second Class",2,-1.04
US-2014-146353,"Second Class",2,-1.04
US-2014-161613,"Second Class",2,-1.04
CA-2016-163167,"Second Class",3,-0.2
CA-2016-163167,"Second Class",3,-0.2
CA-2016-163167,"Second Class",3,-0.2
CA-2016-163167,"Second Class",3,-0.2
CA-2017-143567,"Second Class",3,-0.2
CA-2017-143567,"Second Class",3,-0.2
CA-2017-143567,"Second Class",3,-0.2
CA-2017-143567,"Second Class",3,-0.2
CA-2014-138940,"Second Class",5,1.48
CA-2014-113320,"Second Class",3,-0.2
CA-2014-113320,"Second Class",3,-0.2
CA-2014-113320,"Second Class",3,-0.2
CA-2014-164469,"Second Class",2,-1.04
CA-2014-164469,"Second Class",2,-1.04
CA-2014-164469,"Second Class",2,-1.04
CA-2015-124044,"Second Class",3,-0.2
CA-2016-121370,"Second Class",5,1.48
CA-2016-121370,"Second Class",5,1.48
CA-2016-121370,"Second Class",5,1.48
CA-2015-137708,"Second Class",3,-0.2
CA-2015-137708,"Second Class",3,-0.2
CA-2015-137708,"Second Class",3,-0.2
CA-2017-136364,"Second Class",4,0.64
CA-2017-136364,"Second Class",4,0.64
CA-2016-101630,"Second Class",4,0.64
CA-2016-101630,"Second Class",4,0.64
US-2014-167262,"Second Class",3,-0.2
US-2016-114888,"Second Class",5,1.48
US-2016-114888,"Second Class",5,1.48
US-2015-103996,"Second Class",2,-1.04
US-2015-103996,"Second Class",2,-1.04
US-2015-103996,"Second Class",2,-1.04
US-2015-103996,"Second Class",2,-1.04
CA-2016-124681,"Second Class",5,1.48
CA-2014-119151,"Second Class",4,0.64
CA-2014-119151,"Second Class",4,0.64
CA-2014-106229,"Second Class",4,0.64
CA-2015-142601,"Second Class",2,-1.04
CA-2017-143126,"Second Class",4,0.64
CA-2016-169215,"Second Class",4,0.64
CA-2017-139416,"Second Class",2,-1.04
CA-2017-159107,"Second Class",2,-1.04
CA-2017-130141,"Second Class",2,-1.04
CA-2017-130141,"Second Class",2,-1.04
CA-2017-168396,"Second Class",5,1.48
CA-2017-168396,"Second Class",5,1.48
CA-2015-161214,"Second Class",3,-0.2
CA-2015-159863,"Second Class",3,-0.2
CA-2016-109407,"Second Class",2,-1.04
US-2015-113327,"Second Class",3,-0.2
US-2015-113327,"Second Class",3,-0.2
US-2015-113327,"Second Class",3,-0.2
US-2015-113327,"Second Class",3,-0.2
CA-2016-140564,"Second Class",5,1.48
US-2017-163790,"Second Class",2,-1.04
US-2017-163790,"Second Class",2,-1.04
US-2017-163790,"Second Class",2,-1.04
US-2017-163790,"Second Class",2,-1.04
US-2017-163790,"Second Class",2,-1.04
US-2017-163790,"Second Class",2,-1.04
US-2016-100405,"Second Class",2,-1.04
US-2015-152128,"Second Class",2,-1.04
US-2015-152128,"Second Class",2,-1.04
CA-2014-169460,"Second Class",2,-1.04
CA-2015-118871,"Second Class",5,1.48
CA-2015-118871,"Second Class",5,1.48
CA-2015-118871,"Second Class",5,1.48
CA-2016-101448,"Second Class",3,-0.2
CA-2015-126557,"Second Class",5,1.48
CA-2015-126557,"Second Class",5,1.48
CA-2015-126557,"Second Class",5,1.48
CA-2015-126557,"Second Class",5,1.48
CA-2015-126557,"Second Class",5,1.48
CA-2015-126557,"Second Class",5,1.48
CA-2015-126557,"Second Class",5,1.48
CA-2017-152856,"Second Class",2,-1.04
CA-2017-105445,"Second Class",5,1.48
CA-2016-120873,"Second Class",5,1.48
CA-2014-150798,"Second Class",2,-1.04
CA-2014-150798,"Second Class",2,-1.04
CA-2014-150798,"Second Class",2,-1.04
CA-2014-150798,"Second Class",2,-1.04
CA-2016-168893,"Second Class",5,1.48
CA-2016-168893,"Second Class",5,1.48
CA-2016-168893,"Second Class",5,1.48
CA-2016-168893,"Second Class",5,1.48
CA-2016-168893,"Second Class",5,1.48
CA-2015-163090,"Second Class",4,0.64
CA-2017-112900,"Second Class",3,-0.2
CA-2015-140830,"Second Class",2,-1.04
CA-2015-140830,"Second Class",2,-1.04
US-2017-169320,"Second Class",2,-1.04
US-2017-169320,"Second Class",2,-1.04
CA-2017-117044,"Second Class",2,-1.04
CA-2017-117044,"Second Class",2,-1.04
CA-2017-111332,"Second Class",2,-1.04
CA-2017-111332,"Second Class",2,-1.04
CA-2017-111332,"Second Class",2,-1.04
CA-2017-111332,"Second Class",2,-1.04
CA-2017-111332,"Second Class",2,-1.04
US-2017-163195,"Second Class",4,0.64
CA-2015-155600,"Second Class",3,-0.2
CA-2015-155600,"Second Class",3,-0.2
CA-2017-153654,"Second Class",2,-1.04
CA-2017-107748,"Second Class",2,-1.04
CA-2017-107748,"Second Class",2,-1.04
CA-2017-169894,"Second Class",5,1.48
CA-2017-169894,"Second Class",5,1.48
CA-2014-152345,"Second Class",5,1.48
CA-2014-152345,"Second Class",5,1.48
CA-2014-162278,"Second Class",4,0.64
CA-2014-162278,"Second Class",4,0.64
CA-2014-123253,"Second Class",3,-0.2
CA-2017-129021,"Second Class",3,-0.2
CA-2017-129021,"Second Class",3,-0.2
CA-2017-129021,"Second Class",3,-0.2
CA-2017-129021,"Second Class",3,-0.2
CA-2017-102407,"Second Class",4,0.64
CA-2017-102407,"Second Class",4,0.64
CA-2017-102407,"Second Class",4,0.64
CA-2015-105690,"Second Class",5,1.48
CA-2015-105690,"Second Class",5,1.48
CA-2015-105690,"Second Class",5,1.48
CA-2016-123806,"Second Class",3,-0.2
US-2017-124821,"Second Class",4,0.64
CA-2017-164819,"Second Class",4,0.64
CA-2017-118367,"Second Class",5,1.48
CA-2016-157336,"Second Class",4,0.64
CA-2016-157336,"Second Class",4,0.64
CA-2017-104024,"Second Class",5,1.48
CA-2017-134565,"Second Class",2,-1.04
CA-2017-134565,"Second Class",2,-1.04
CA-2017-134565,"Second Class",2,-1.04
CA-2014-166457,"Second Class",4,0.64
CA-2014-166457,"Second Class",4,0.64
CA-2014-166457,"Second Class",4,0.64
CA-2014-145387,"Second Class",2,-1.04
CA-2014-145387,"Second Class",2,-1.04
CA-2014-145387,"Second Class",2,-1.04
CA-2014-145387,"Second Class",2,-1.04
CA-2014-145387,"Second Class",2,-1.04
CA-2014-145387,"Second Class",2,-1.04
US-2015-134271,"Second Class",5,1.48
CA-2016-157714,"Second Class",5,1.48
CA-2015-101091,"Second Class",4,0.64
CA-2015-101091,"Second Class",4,0.64
CA-2016-111913,"Second Class",2,-1.04
CA-2016-111913,"Second Class",2,-1.04
CA-2015-100685,"Second Class",2,-1.04
CA-2015-100685,"Second Class",2,-1.04
CA-2015-100685,"Second Class",2,-1.04
CA-2015-156104,"Second Class",2,-1.04
CA-2017-136350,"Second Class",2,-1.04
CA-2017-136350,"Second Class",2,-1.04
US-2015-149629,"Second Class",3,-0.2
CA-2014-122588,"Second Class",2,-1.04
CA-2016-135265,"Second Class",2,-1.04
CA-2016-135265,"Second Class",2,-1.04
CA-2016-135265,"Second Class",2,-1.04
CA-2015-132374,"Second Class",2,-1.04
CA-2014-164910,"Second Class",5,1.48
CA-2014-121167,"Second Class",2,-1.04
CA-2016-133144,"Second Class",5,1.48
CA-2017-160458,"Second Class",2,-1.04
CA-2016-110044,"Second Class",4,0.64
US-2015-119312,"Second Class",5,1.48
CA-2016-167759,"Second Class",5,1.48
CA-2016-136231,"Second Class",2,-1.04
CA-2016-136231,"Second Class",2,-1.04
CA-2016-136231,"Second Class",2,-1.04
CA-2015-132486,"Second Class",4,0.64
CA-2015-132486,"Second Class",4,0.64
CA-2015-132486,"Second Class",4,0.64
CA-2015-132486,"Second Class",4,0.64
CA-2015-132486,"Second Class",4,0.64
CA-2015-132486,"Second Class",4,0.64
CA-2017-146360,"Second Class",2,-1.04
CA-2014-124709,"Second Class",2,-1.04
CA-2017-123246,"Second Class",2,-1.04
US-2017-105389,"Second Class",5,1.48
US-2017-105389,"Second Class",5,1.48
US-2017-105389,"Second Class",5,1.48
CA-2017-129000,"Second Class",2,-1.04
CA-2017-165204,"Second Class",3,-0.2
CA-2015-135314,"Second Class",5,1.48
US-2017-148768,"Second Class",2,-1.04
US-2014-102715,"Second Class",2,-1.04
US-2014-102715,"Second Class",2,-1.04
US-2014-102715,"Second Class",2,-1.04
US-2014-102715,"Second Class",2,-1.04
CA-2014-115357,"Second Class",5,1.48
CA-2014-153913,"Second Class",4,0.64
CA-2015-103205,"Second Class",2,-1.04
CA-2016-156251,"Second Class",5,1.48
CA-2016-156251,"Second Class",5,1.48
CA-2017-161956,"Second Class",2,-1.04
CA-2017-161956,"Second Class",2,-1.04
CA-2017-161956,"Second Class",2,-1.04
CA-2017-161956,"Second Class",2,-1.04
CA-2017-161956,"Second Class",2,-1.04
CA-2017-161956,"Second Class",2,-1.04
CA-2017-161956,"Second Class",2,-1.04
CA-2016-149979,"Second Class",5,1.48
CA-2016-149979,"Second Class",5,1.48
CA-2017-168193,"Second Class",5,1.48
CA-2017-168193,"Second Class",5,1.48
CA-2014-135608,"Second Class",2,-1.04
CA-2014-135608,"Second Class",2,-1.04
CA-2016-126543,"Second Class",4,0.64
CA-2017-160416,"Second Class",5,1.48
US-2015-131359,"Second Class",3,-0.2
US-2015-131359,"Second Class",3,-0.2
US-2015-131359,"Second Class",3,-0.2
US-2015-131359,"Second Class",3,-0.2
CA-2017-140760,"Second Class",3,-0.2
CA-2017-140760,"Second Class",3,-0.2
CA-2016-155005,"Second Class",2,-1.04
CA-2017-109960,"Second Class",2,-1.04
CA-2017-109960,"Second Class",2,-1.04
CA-2017-109960,"Second Class",2,-1.04
CA-2017-109960,"Second Class",2,-1.04
CA-2014-146528,"Second Class",2,-1.04
CA-2014-146528,"Second Class",2,-1.04
CA-2014-156594,"Second Class",3,-0.2
CA-2014-156594,"Second Class",3,-0.2
CA-2014-156594,"Second Class",3,-0.2
CA-2014-156594,"Second Class",3,-0.2
CA-2017-132178,"Second Class",5,1.48
CA-2017-132178,"Second Class",5,1.48
CA-2017-113530,"Second Class",2,-1.04
CA-2017-113530,"Second Class",2,-1.04
CA-2017-113530,"Second Class",2,-1.04
CA-2017-113530,"Second Class",2,-1.04
US-2016-131674,"Second Class",2,-1.04
CA-2014-163559,"Second Class",5,1.48
CA-2016-119683,"Second Class",4,0.64
CA-2014-102869,"Second Class",5,1.48
CA-2014-102869,"Second Class",5,1.48
CA-2014-102869,"Second Class",5,1.48
CA-2014-102869,"Second Class",5,1.48
CA-2016-108434,"Second Class",2,-1.04
CA-2014-154186,"Second Class",2,-1.04
CA-2016-137176,"Second Class",5,1.48
CA-2017-109757,"Second Class",5,1.48
CA-2017-109757,"Second Class",5,1.48
CA-2017-109757,"Second Class",5,1.48
CA-2017-109757,"Second Class",5,1.48
CA-2014-120838,"Second Class",3,-0.2
CA-2014-120838,"Second Class",3,-0.2
CA-2017-107832,"Second Class",3,-0.2
CA-2016-152555,"Second Class",4,0.64
CA-2016-152555,"Second Class",4,0.64
CA-2016-152555,"Second Class",4,0.64
CA-2017-121216,"Second Class",2,-1.04
CA-2017-121216,"Second Class",2,-1.04
CA-2016-145842,"Second Class",3,-0.2
CA-2017-148922,"Second Class",5,1.48
CA-2017-148922,"Second Class",5,1.48
CA-2017-148922,"Second Class",5,1.48
CA-2016-114482,"Second Class",4,0.64
CA-2016-114482,"Second Class",4,0.64
CA-2016-150945,"Second Class",2,-1.04
CA-2017-128699,"Second Class",2,-1.04
CA-2015-152611,"Second Class",3,-0.2
CA-2017-114258,"Second Class",5,1.48
CA-2015-153325,"Second Class",1,-1.88
CA-2014-157609,"Second Class",5,1.48
CA-2014-158337,"Second Class",3,-0.2
US-2017-111024,"Second Class",3,-0.2
US-2017-111024,"Second Class",3,-0.2
CA-2017-101077,"Second Class",5,1.48
CA-2015-130659,"Second Class",5,1.48
CA-2015-130659,"Second Class",5,1.48
CA-2015-130659,"Second Class",5,1.48
CA-2016-130050,"Second Class",2,-1.04
US-2015-142020,"Second Class",4,0.64
US-2015-142020,"Second Class",4,0.64
CA-2016-145982,"Second Class",5,1.48
CA-2016-145982,"Second Class",5,1.48
CA-2016-145982,"Second Class",5,1.48
CA-2016-145982,"Second Class",5,1.48
CA-2016-145982,"Second Class",5,1.48
CA-2016-145982,"Second Class",5,1.48
CA-2017-161739,"Second Class",5,1.48
CA-2016-162747,"Second Class",5,1.48
CA-2014-104738,"Second Class",2,-1.04
CA-2014-104738,"Second Class",2,-1.04
CA-2014-104738,"Second Class",2,-1.04
CA-2014-104738,"Second Class",2,-1.04
CA-2014-104738,"Second Class",2,-1.04
CA-2014-102988,"Second Class",4,0.64
CA-2014-102988,"Second Class",4,0.64
CA-2014-102988,"Second Class",4,0.64
CA-2014-102988,"Second Class",4,0.64
CA-2014-102988,"Second Class",4,0.64
CA-2015-155145,"Second Class",2,-1.04
CA-2016-122518,"Second Class",4,0.64
US-2016-161844,"Second Class",5,1.48
CA-2017-110373,"Second Class",3,-0.2
CA-2017-110373,"Second Class",3,-0.2
US-2017-140907,"Second Class",2,-1.04
US-2017-140907,"Second Class",2,-1.04
US-2017-140907,"Second Class",2,-1.04
CA-2017-114524,"Second Class",5,1.48
CA-2017-131625,"Second Class",4,0.64
CA-2014-164224,"Second Class",2,-1.04
CA-2014-164224,"Second Class",2,-1.04
US-2017-146416,"Second Class",2,-1.04
US-2017-146416,"Second Class",2,-1.04
CA-2017-152912,"Second Class",3,-0.2
CA-2017-152912,"Second Class",3,-0.2
CA-2017-152912,"Second Class",3,-0.2
CA-2017-152912,"Second Class",3,-0.2
CA-2017-107461,"Second Class",5,1.48
US-2014-150924,"Second Class",4,0.64
CA-2014-128986,"Second Class",2,-1.04
CA-2014-109218,"Second Class",3,-0.2
CA-2017-131828,"Second Class",2,-1.04
CA-2017-131828,"Second Class",2,-1.04
CA-2017-162572,"Second Class",2,-1.04
CA-2017-162572,"Second Class",2,-1.04
CA-2017-119578,"Second Class",5,1.48
CA-2017-119578,"Second Class",5,1.48
US-2017-159205,"Second Class",2,-1.04
US-2017-159205,"Second Class",2,-1.04
CA-2017-106859,"Second Class",5,1.48
CA-2017-106859,"Second Class",5,1.48
CA-2017-106859,"Second Class",5,1.48
CA-2017-106859,"Second Class",5,1.48
CA-2017-106859,"Second Class",5,1.48
CA-2017-131492,"Second Class",5,1.48
CA-2017-131492,"Second Class",5,1.48
CA-2017-131492,"Second Class",5,1.48
CA-2016-128517,"Second Class",5,1.48
CA-2016-128517,"Second Class",5,1.48
CA-2017-125290,"Second Class",4,0.64
CA-2017-125290,"Second Class",4,0.64
CA-2015-135174,"Second Class",2,-1.04
CA-2016-112893,"Second Class",4,0.64
CA-2016-139010,"Second Class",5,1.48
CA-2016-139010,"Second Class",5,1.48
CA-2016-139010,"Second Class",5,1.48
CA-2016-139010,"Second Class",5,1.48
US-2014-112872,"Second Class",5,1.48
US-2014-112872,"Second Class",5,1.48
CA-2014-109232,"Second Class",3,-0.2
CA-2017-134607,"Second Class",5,1.48
CA-2017-167941,"Second Class",3,-0.2
CA-2017-167941,"Second Class",3,-0.2
CA-2017-167941,"Second Class",3,-0.2
CA-2017-167941,"Second Class",3,-0.2
CA-2017-167941,"Second Class",3,-0.2
CA-2017-137428,"Second Class",5,1.48
CA-2017-137428,"Second Class",5,1.48
CA-2017-137428,"Second Class",5,1.48
CA-2017-137428,"Second Class",5,1.48
CA-2017-128629,"Second Class",4,0.64
US-2015-141453,"Second Class",3,-0.2
CA-2015-134747,"Second Class",5,1.48
CA-2015-134747,"Second Class",5,1.48
CA-2015-134747,"Second Class",5,1.48
CA-2014-142727,"Second Class",2,-1.04
CA-2014-142727,"Second Class",2,-1.04
CA-2016-130799,"Second Class",5,1.48
CA-2016-102932,"Second Class",4,0.64
CA-2016-102932,"Second Class",4,0.64
US-2016-167339,"Second Class",2,-1.04
US-2016-167339,"Second Class",2,-1.04
CA-2016-115588,"Second Class",2,-1.04
CA-2016-115588,"Second Class",2,-1.04
CA-2016-154690,"Second Class",2,-1.04
CA-2016-136371,"Second Class",2,-1.04
CA-2016-136371,"Second Class",2,-1.04
US-2017-135062,"Second Class",4,0.64
US-2015-104185,"Second Class",5,1.48
CA-2017-134649,"Second Class",5,1.48
CA-2017-134649,"Second Class",5,1.48
CA-2015-135685,"Second Class",2,-1.04
CA-2015-135685,"Second Class",2,-1.04
CA-2015-135685,"Second Class",2,-1.04
CA-2015-135685,"Second Class",2,-1.04
CA-2015-135685,"Second Class",2,-1.04
CA-2015-148635,"Second Class",2,-1.04
CA-2015-148635,"Second Class",2,-1.04
